기준_년_코드,기준_분기_코드,상권_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,상권_변화_지표,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,아파트_단지_수,아파트_평균_시가,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,종합병원_수,일반_병원_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,상권_구분_코드_D,상권_구분_코드_R,상권_구분_코드_U,젠트리_여부,예측_clust
2023,1,3120102,1895650588,452406443,238452438,217582091,328812290,78640263,60157573,285939528,82857774,4,91,50,104,52,75,237739706,2652835,1217722,1435114,239161,723909,465134,301241,328581,436670,494273,419250,458910,553586,290145,376598,385128,391594,395659,400348,375522,327989,51,0,0,0,0,0,0,0,0,0,17,1,0,0,0,1
2023,1,3120105,1307553976,304948130,173966681,157598869,166433822,45866003,49434308,261943412,65878483,4,68,40,104,52,32,162208728,1056017,486644,569373,120959,395215,134582,84127,105872,210444,188855,152172,156499,214641,133408,143241,150132,148774,151582,156621,159454,146212,28,0,0,0,3,0,0,0,0,1,10,1,0,0,0,1
2023,1,3120106,1235066290,313433453,153785396,152797065,199377966,60828402,38716680,165765532,48657213,1,110,47,104,52,2,223404040,903514,432131,471383,113521,119878,176284,138190,161832,177139,179855,134123,133504,171008,107883,134336,135871,135776,138808,138325,114364,106035,46,0,1,0,0,0,0,0,0,1,10,1,0,0,0,1
2023,1,3120107,1216567876,296760737,160113307,146996885,184971607,50205484,42527511,188602530,57472039,3,101,52,104,52,6,975453869,1509147,699897,809249,189740,239482,283593,233982,237330,196024,313236,267216,270421,314787,147462,228301,232092,231157,236258,234999,182571,163768,93,0,0,0,0,0,0,0,0,1,17,1,0,0,0,1
2023,1,3120108,1307037673,344419217,155756244,171067985,211278994,49452845,39369033,187403213,52875167,2,112,52,104,52,56,143956005,957420,458936,498485,172666,124367,156533,149762,214797,228681,194984,116606,119454,174002,123694,135974,135796,135501,135715,137138,139642,137655,66,0,1,0,0,0,0,0,0,1,14,1,0,0,0,1
2023,1,3120109,1136347032,296073281,135262069,148140375,184503925,43755571,33581557,168494670,45335409,1,110,45,104,52,35,148446301,672423,317667,354758,173881,74547,119267,101845,117488,147799,135082,91645,92630,122601,82666,97499,97399,98463,98093,99004,92547,89419,35,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1
2023,1,3120110,867113410,202794984,108834516,101760681,152224719,40072896,25037609,133730981,36010422,1,106,47,104,52,35,167655065,1176657,564364,612293,249983,162643,195668,172282,234797,263275,220850,150465,162319,227073,152673,166768,168536,169074,169567,172098,170150,160463,75,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1
2023,1,3120111,988442567,242662076,119450399,121416988,171505384,36239222,28871327,155146842,41644806,1,108,47,104,52,43,146264039,703708,335824,367883,102184,101298,115619,106773,161383,161552,138645,84905,90605,132764,95235,98230,98182,98599,98001,99688,106380,104625,42,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1
2023,1,3120113,2023404078,485491417,245517484,239221864,337164164,79835034,57445976,351163275,83662005,4,89,50,104,52,30,333948104,1880958,859660,1021299,524608,219970,361766,264636,290631,285456,342986,292532,312533,422566,224886,258278,262928,267741,270131,276339,285198,260342,69,0,0,0,0,0,0,0,0,1,6,1,0,0,0,2
2023,1,3120116,358050110,102538671,45051273,47562352,57469338,13183625,12801220,32418800,16699487,2,123,57,104,52,11,127879805,240154,118283,121871,30806,38527,33805,33719,60162,45345,48512,33365,34171,49245,29517,33756,33810,33968,34028,34613,35308,34671,23,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1
