지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,상권_변화_지표,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,아파트_단지_수,아파트_평균_시가,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,종합병원_수,일반_병원_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,상권_구분_코드_D,상권_구분_코드_R,상권_구분_코드_U,젠트리_여부
0.35161568120782927,0.3091135021817137,0.3530850247913341,0.3135904305611548,0.3380696605590536,0.3621390060749211,0.32209539311122787,0.23645677284180566,0.3457409798871965,0.3333333333333333,0.538961038961039,0.5,0.0,0.0,0.044444444444444446,0.060235685342305334,0.1761310099894691,0.19777708742114777,0.1581596919293775,0.13519088710636554,0.05760380881859372,0.4021694023996098,0.2880044293597626,0.20396228932271981,0.10213769693485457,0.23919597295017359,0.23995429286296144,0.2210260278494089,0.14902536062484953,0.1158254050465269,0.20854642219732988,0.20785861255171315,0.2049690023443605,0.2128049183306083,0.19477575600981845,0.1031279481889849,0.10502868546311318,0.35944700460829493,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.125,0.25,0.9230769230769231,1.0,0.0,0.0,0.0
0.44780639528629895,0.4154331192253457,0.41604033228002646,0.42727810267244376,0.4063226883297751,0.3396619624982481,0.405436154522501,0.3438212874685903,0.4275538790520111,0.6666666666666667,0.3246753246753247,0.48275862068965514,0.0,0.0,0.15555555555555559,0.1599687204977092,0.1908449199873623,0.18452202550635244,0.1963722979909673,0.21077398808029282,0.0694815996961887,0.3472225167127586,0.27837028939142916,0.288162049183973,0.15643528362423542,0.20520909681791155,0.23273334198689094,0.22520562695413382,0.17418278963051478,0.16026899979027842,0.19550758115778138,0.193074960084347,0.19952904402188068,0.1991847511932485,0.19368757888041976,0.1773963689259572,0.17845093093976105,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42307692307692313,1.0,0.0,0.0,0.0
0.7972543326180294,0.6978947436999233,0.7735749922911891,0.7104491351994786,0.7454869888225001,0.7672491491197322,0.7456893125700216,0.5796799713323019,0.7574710168711059,0.3333333333333333,0.5194805194805195,0.5344827586206897,0.0,0.0,0.02222222222222222,0.6149588147430199,0.18097291874299734,0.19490548999850305,0.1694818554032065,0.10669855827045314,0.06257725866797406,0.4288462062719416,0.28122903434025,0.20363098679236893,0.10399259393903527,0.23108603808549186,0.268118556463952,0.24393582403450215,0.15103948369146336,0.09881825944992693,0.20593200808228065,0.20840507374618972,0.20975774941390987,0.21431918776528106,0.19855804108241326,0.11609117383022047,0.11730716633893058,0.511520737327189,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.42307692307692313,1.0,0.0,0.0,0.0
0.02272829069733683,0.02759827324058211,0.020435897329761,0.026881588308632114,0.01577517783014618,0.016364675599290765,0.024570251558187872,0.007608694754773441,0.021499684269919286,0.3333333333333333,0.538961038961039,0.5689655172413792,0.0,0.0,0.011111111111111112,0.3997994168615855,0.05972863611043035,0.0669822633789237,0.05388206045899495,0.033310427761553,0.02089591953572244,0.15012706845945772,0.09331881362084624,0.05616022590830258,0.02417706911055406,0.07305942387741839,0.1011914313427085,0.09270263303329127,0.048720503161319664,0.02407974518248674,0.06913887266120346,0.06924727056190604,0.07024225058609013,0.07185089762010934,0.06508988641219553,0.03879733405176722,0.034916592164820064,0.14746543778801843,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.07692307692307693,1.0,0.0,0.0,0.0
0.374667132079934,0.3798795135140278,0.34725194677394305,0.3969626083673607,0.3261199774767562,0.28232176063266046,0.3523305116674108,0.21464580899553143,0.3587381322452921,0.6666666666666667,0.27922077922077926,0.4655172413793103,0.0,0.0,0.011111111111111112,0.33090191831567606,0.04143835299240811,0.04336723771321691,0.04007082269843139,0.04933992309013783,0.014682203127465812,0.07631225824430464,0.060679121416152206,0.06242495664161516,0.042955153595448145,0.04609862261619948,0.054628818595200565,0.052241183985115534,0.029036622388232732,0.02821276659842025,0.0421575615952321,0.041020046991491275,0.04231622818442302,0.04262766519678277,0.04079620777723673,0.040449985862972694,0.04102772549736063,0.06912442396313365,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0.0,0.0,0.0
0.3541979473568316,0.3395072441144056,0.335606707028978,0.3530910483993566,0.32906938640199807,0.2699987669359551,0.32105183118689556,0.22831064184290129,0.3516286156790655,0.3333333333333333,0.35064935064935066,0.48275862068965514,0.0,0.0,0.08888888888888889,0.10989345211305937,0.10936636036332989,0.11600191225209534,0.1040257753502924,0.11227914844131989,0.038574957220964635,0.2233739326400858,0.16254450899219355,0.14575199003868902,0.08375189695768147,0.13570981593395195,0.15051773144604016,0.1453157385591322,0.08360203170364747,0.06619207020690597,0.11533007112192563,0.11628881934138914,0.11737223235217505,0.11992146856265175,0.11160424140638198,0.09377275847198248,0.09228859943374991,0.17972350230414746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,1.0,0.0,0.0,0.0
0.3040361884095687,0.3206929205354777,0.29250557580803804,0.3139317110354698,0.2630052430531992,0.22799465159101026,0.3179860608372056,0.13504357084183036,0.31758976380719334,0.3333333333333333,0.4675324675324676,0.603448275862069,0.0,0.0,0.02222222222222222,0.009209720559133536,0.14704045053539008,0.1646883656844108,0.13243628188948903,0.09760680824071995,0.06448370014761905,0.2805305070319291,0.22307956322218978,0.19811335438253214,0.13840964140630616,0.20532059437706576,0.1954583131899637,0.17319178119979417,0.09504979253640645,0.08915252784025009,0.16517115890685546,0.1681108607076673,0.16736233394113048,0.17140662934152506,0.1569409800550548,0.10032339044946224,0.10278227911869087,0.09216589861751152,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.19230769230769232,1.0,0.0,0.0,0.0
0.49450804792857134,0.42478799833558556,0.5135393915094787,0.41242450760130117,0.3951134975366515,0.3877923976128857,0.5612468531776226,0.4353660749409495,0.5779441404813149,0.6666666666666667,0.33766233766233766,0.4137931034482758,0.0,0.0,0.3111111111111111,0.0871431912704779,0.5075005186079168,0.4713035024152646,0.5380479933343344,0.5775732427682264,0.3917127585833528,0.6316983555311886,0.5275881599371754,0.4801329657135234,0.4270338134027722,0.4430567271922668,0.5130646574059974,0.5780079273506916,0.5757856799799226,0.4881055420955241,0.4756625808630033,0.4902028059322327,0.5055035165407659,0.4929488926324135,0.4964760948850706,0.5414709933903447,0.5483815171999268,0.28571428571428575,0.0,0.0,0.0,0.8,0.0,0.0,0.3333333333333333,0.0,0.25,0.42307692307692313,1.0,0.0,0.0,0.0
0.11738599862173467,0.1108658527725316,0.11772827571201892,0.09805432607672834,0.10733094417931163,0.09536914591293846,0.13049217802359636,0.06904266338021614,0.1302338930236769,0.3333333333333333,0.5194805194805195,0.603448275862069,0.0,0.0,0.02222222222222222,0.07475475638662954,0.1265828200303358,0.14350067685354048,0.11259754014210532,0.07736577114690842,0.05521504145494128,0.2365290773224449,0.20303445041899545,0.16720327300217905,0.11291622104893835,0.16358247707817622,0.16447925854683604,0.14969984695095678,0.09277387168978683,0.08668800960316274,0.14124482128405358,0.1432802480349819,0.14363323782234957,0.14555463343738131,0.1338447931469685,0.08976583942050563,0.0910324280322972,0.12903225806451613,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.42307692307692313,1.0,0.0,0.0,0.0
0.05444232668710278,0.04883022737823144,0.05328116694258672,0.04643426094085159,0.04981807298395978,0.04276956736601732,0.05372070099269675,0.042709718829826354,0.05864307016781485,0.3333333333333333,0.5324675324675325,0.5,0.0,0.0,0.0,0.06062619504221205,0.14566156360397145,0.16992291434945603,0.1255003645285949,0.060731040133204704,0.05378648045945114,0.2627288065257756,0.27201862139002236,0.26643060434917953,0.09079526384092187,0.185197445755141,0.21406209915546054,0.1965724243482099,0.1153591852802128,0.08400565900661491,0.16276469737004304,0.16533684014028624,0.16599739515498826,0.16864130704057873,0.15846641557434882,0.10731098508900613,0.09266372118616308,0.4423963133640553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.15384615384615385,1.0,0.0,0.0,0.0
